"x"
"1" "New R job: Data Scientist Intern at eBay (@Netanya) http://t.co/cMWZD7RqKd #rstats #jobs"
"2" "New R job: Statistician Intermediate at Rice University (@Houston) http://t.co/ZfZbh3PciT #rstats #jobs"
"3" "Fishing for packages in CRAN http://t.co/dRb1tAI8sX #rstats"
"4" "Free Webinar: Intro to SparkR http://t.co/1XvAf4MmLr #rstats"
"5" "‘Variable Importance Plot’ and Variable Selection http://t.co/0QiXkWRV0S #rstats"
"6" "New R job: Data Scientest (@TelAviv) http://t.co/C2QdzLEZPC #rstats #jobs"
"7" "Big Data and Chess Follow-up: Predictive Piece Values Over the Course of a Game http://t.co/ngiHssHemE #rstats"
"8" "dynamic mixtures [at NBBC15] http://t.co/eeqRLqpbGS #rstats"
"9" "Confidence Intervals for prediction in GLMMs http://t.co/f0dxr2T9ha #rstats"
"10" "New R job: Data Scientist/Statistician (@KfarSaba) http://t.co/TkKUYBOJ4t #rstats #jobs"
"11" "licorice: plot Likert-like data http://t.co/JpUWUHANb9 #rstats"
"12" "New R job: R Programmer / Data Analyst (@SanDiego) http://t.co/uSMWzxpZ1i #rstats #jobs"
"13" "New R job: Data Scientist (@Prague) http://t.co/fpGvvwkP4p #rstats #jobs"
"14" "Shiny 0.12: Interactive Plots with ggplot2 http://t.co/lljDivrULQ #rstats"
"15" "Pairwise-complete correlation considered dangerous http://t.co/VEeo58U6sN #rstats"
"16" "North American seminars: June 2015 http://t.co/GFmAjEQw9o #rstats"
"17" "Comparing #rstats and #pdf15 intraday hashtag streams http://t.co/y77g6m3RK3 #rstats"
"18" "metricsgraphics 0.8.5 is now on CRAN! http://t.co/5YQ6Ucy1cf #rstats"
"19" "Shiny Wool Skeins http://t.co/EQqJgywlVd #rstats"
"20" "A step by step (screenshots) tutorial for upgrading R on Windows http://t.co/zFAgM3yByE #rstats"
"21" "Connect R to Bloomberg with the RBlpapi package http://t.co/ZIuIy61ptp #rstats"
"22" "Shiny App for the Wittgenstein Centre Population Projections http://t.co/eQoShMFGl7 #rstats"
"23" "Introducing passivetotal – R Package To Work With the PassiveTotal API http://t.co/P1U2LOjAK5 #rstats"
"24" "Are These Losses from The Same Distribution? http://t.co/TkYT40QSno #rstats"
"25" "Mimicking a Google Form with a Shiny app http://t.co/bVZAqy986z #rstats"
"26" "HTTPS for CRAN: how and why http://t.co/njJi1qvwe8 #rstats"
"27" "pkgKitten 0.1.3: Still creating R Packages that purr http://t.co/sebwhHNpdd #rstats"
"28" "SAS vs R? The right answer to the wrong question? http://t.co/dt8Nj50bvm #rstats"
"29" "Hadley Wickham’s Master R Developer Workshop – Washington DC registration is open http://t.co/amQDZ2HcBe #rstats"
"30" "SparkR: Distributed data frames with Spark and R http://t.co/yCdViL3CKu #rstats"
